name,expertise,phone,hourlyRate,schedule
Merrilee Cruddas,dance,431-188-7741,52.82,Mon-Fri: 7:00-9:00
Bridget Raisher,cardio,599-552-9837,42.05,Fri: 11:00-13:00
Bibbie Wickardt,spin,821-464-8775,52.13,Mon-Fri: 7:00-9:00
Shirlene Craxford,strength training,191-985-6729,98.25,Tue-Fri: 18:00-20:00
Christy Adamovich,strength training,820-159-1458,94.92,Tue-Fri: 18:00-20:00
Florence Calvie,boxing,415-503-8352,68.48,Tue-Thu: 12:00-14:00
Hanni Ziem,pilates,494-536-6311,64.77,Wed-Fri: 15:00-17:00
Pearce Morforth,strength training,775-512-7500,88.36,Fri: 14:00-16:00
Joye Rankin,stretching,156-400-7509,93.22,Mon-Fri: 7:00-9:00
Barby Thews,aerobics,145-551-4525,76.02,Fri: 11:00-13:00
Sidoney Willavize,stretching,978-383-0356,96.84,Mon: 8:30-10:30
Tod Frantsev,HIIT,220-525-2208,95.21,Tue-Fri: 18:00-20:00
Kristoffer Hanhardt,TRX,524-695-0123,66.71,Tue-Fri: 18:00-20:00
Sterling Tripon,zumba,915-182-1163,36.92,Wed: 10:00-14:00
Ninnetta Nusche,strength training,205-905-4885,75.36,Mon: 8:30-10:30
Reese Burleigh,boxing,988-476-0863,95.57,Tue-Thu: 12:00-14:00
Mischa Berrigan,functional training,716-281-4996,68.55,Tue-Fri: 18:00-20:00
Bengt Ducaen,aerobics,504-909-6275,66.19,Wed: 13:00-15:00
Calli Puckham,crossfit,107-331-4090,63.53,Mon-Wed: 16:00-18:00
Chery Preon,bootcamp,851-895-3953,95.28,Mon-Thu: 16:00-18:00
Muire Roderham,TRX,801-716-0199,54.84,Fri: 14:00-16:00
Melissa Gookey,TRX,858-762-4042,66.89,Mon: 8:30-10:30
Lance Lamborne,cycling,148-316-1641,82.7,Wed: 10:00-14:00
Claudie Mateus,kickboxing,780-619-8110,78.91,Thu-Fri: 17:00-19:00
Chiquita Wolfart,aerobics,603-155-1930,43.73,Fri: 14:00-16:00
Tasia Francey,HIIT,182-676-4555,78.02,Mon-Wed: 11:30-13:30
Yolande O' Reagan,cardio,759-320-6308,77.39,Tue: 9:00-10:30
Hieronymus Dundendale,swimming,965-936-9400,54.38,Mon-Fri: 7:00-9:00
Thaddus Kirtley,swimming,474-932-5893,91.52,Wed: 10:00-14:00
Alvera Gerriet,functional training,153-650-9366,73.16,Thu-Fri: 17:00-19:00
Yance Smallacombe,crossfit,527-428-9331,65.46,Mon-Thu: 14:30-16:30
Wit Bloss,dance,908-253-7245,66.12,Tue-Fri: 18:00-20:00
Lacy Wabersinke,pilates,137-264-2450,59.37,Tue: 14:00-16:00
Britni Peddowe,aerobics,315-129-3874,89.21,Tue-Fri: 18:00-20:00
Gaby Haquin,stretching,208-915-4831,56.93,Thu-Fri: 17:00-19:00
Benedick Frigout,strength training,662-104-4309,83.44,Mon-Wed-Fri: 9:00-11:00
Lesli Denisovich,TRX,530-255-7381,56.19,Mon: 12:00-14:00
Germaine Lince,dance,739-126-8846,44.97,Mon-Tue-Thu: 9:30-11:30
Kerrill Dumbellow,strength training,352-342-9253,56.77,Thu: 10:00-12:00
Ladonna Doughton,crossfit,680-735-1187,81.2,Tue: 14:00-16:00
Cahra Parman,yoga,780-376-0184,92.6,Wed: 13:00-15:00
Elysee Gailor,pilates,192-854-6726,68.62,Wed: 10:00-14:00
Carr Franzolini,zumba,605-435-4735,36.12,Mon-Fri: 7:00-9:00
Benedicta Willans,yoga,991-457-3825,63.51,Wed: 13:00-15:00
Frasier McKerlie,swimming,235-719-9229,49.41,Mon-Thu: 16:00-18:00
Peta Waycott,HIIT,774-174-6083,89.22,Mon-Fri: 8:00-12:00
Weidar Camilio,swimming,422-148-7824,83.46,Tue: 14:00-16:00
Lennard Paddock,strength training,364-581-1019,94.09,Tue: 14:00-16:00
Mohandis Malyon,crossfit,336-164-3770,91.78,Fri: 14:00-16:00
Royall McEwen,cycling,445-106-7597,64.54,Mon-Thu: 14:30-16:30
Oona Cobley,bodyweight exercises,806-349-1795,50.14,Mon-Wed: 11:30-13:30
Carmine Basley,kickboxing,497-664-3817,62.07,Wed: 10:00-14:00
Toinette Reglar,stretching,174-959-9008,95.94,Mon-Wed-Fri: 9:00-11:00
Myles Winchester,zumba,243-302-4673,99.22,Thu: 10:00-12:00
Mallory Girard,HIIT,689-628-1215,66.17,Fri: 14:00-16:00
Gage Hutten,stretching,115-621-7761,76.22,Thu-Fri: 17:00-19:00
Tamarra Goves,pilates,566-835-8344,55.41,Fri: 14:00-16:00
